SL_No	Outcome
1	No
2	No
3	Yes
4	Yes
5	Yes
6	No
7	Yes
8	No
9	Yes
10	Yes
11	Yes
12	Yes
13	Yes
14	No
15	No
16	No
17	Yes
18	Yes
19	Yes
20	No
21	Yes
22	No
23	Yes
24	Yes
25	Yes
26	Yes
27	Yes
28	No
29	Yes
30	No
31	Yes
32	Yes
33	Yes
34	Yes
35	Yes
36	No
37	No
38	No
39	Yes
40	Yes
41	Yes
42	No
43	Yes
44	No
45	Yes
46	Yes
47	Yes
48	Yes
49	Yes
50	No
51	No
52	No
53	Yes
54	Yes
55	Yes
56	No
57	Yes
58	No
59	Yes
60	Yes
61	Yes
62	Yes
63	Yes
64	No
65	Yes
66	No
67	Yes
68	Yes
69	Yes
70	Yes
71	Yes
72	No
73	No
74	No
75	Yes
76	Yes
77	Yes
78	No
79	Yes
80	No
81	Yes
82	Yes
83	No
84	No
85	Yes
86	Yes
87	Yes
88	No
89	Yes
90	No
91	Yes
92	Yes
93	Yes
94	Yes
95	Yes
96	No
97	Yes
98	No
99	Yes
100	Yes
